标题	评分	评论人数	总结	详情	链接
燃情岁月	8.8	269230人评价	导演:爱德华·兹威克EdwardZwick   主演:布拉德·皮特BradPitt/安东...1994 / 美国 / 剧情爱情战争西部	传奇，不是每个人都可以拥有。	https://movie.douban.com/subject/1295865/
末路狂花	8.9	220395人评价	导演:雷德利·斯科特RidleyScott   主演:吉娜·戴维斯GeenaDavis/苏...1991 / 美国英国法国 / 犯罪剧情惊悚	没有了退路，只好飞向自由。	https://movie.douban.com/subject/1291992/
火星救援	8.5	666634人评价	导演:雷德利·斯科特RidleyScott   主演:马特·达蒙MattDamon/杰西卡...2015 / 英国美国匈牙利约旦 / 剧情科幻冒险		https://movie.douban.com/subject/25864085/
阿飞正传	8.5	471899人评价	导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...1990 / 中国香港 / 犯罪剧情爱情	王家卫是一种风格，张国荣是一个代表。	https://movie.douban.com/subject/1305690/
再次出发之纽约遇见你	8.6	400532人评价	导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克...2013 / 美国 / 喜剧爱情音乐	爱我就给我看你的播放列表。	https://movie.douban.com/subject/6874403/
谍影重重	8.6	395852人评价	导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦...2002 / 美国德国捷克 / 动作悬疑惊悚	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。	https://movie.douban.com/subject/1304102/
千年女优	8.8	236537人评价	导演:今敏SatoshiKon   主演:庄司美代子MiyokoShôji/小山茉美Mam...2001 / 日本 / 动画剧情爱情	爱情是一场没有尽头的虚幻追逐。	https://movie.douban.com/subject/1307394/
海洋	9.1	151014人评价	导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...2009 / 法国瑞士西班牙美国阿联酋摩纳哥 / 纪录片	大海啊，不全是水。	https://movie.douban.com/subject/3443389/
朗读者	8.6	432170人评价	导演:史蒂芬·戴德利StephenDaldry   主演:凯特·温丝莱特KateWinslet...2008 / 美国德国 / 剧情爱情	当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 	https://movie.douban.com/subject/2213597/
穿越时空的少女	8.6	359733人评价	导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya...2006 / 日本 / 剧情爱情科幻动画	爱上未来的你。 	https://movie.douban.com/subject/1937946/
香水	8.5	514496人评价	导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克...2006 / 德国法国西班牙美国比利时 / 剧情犯罪奇幻	一个单凭体香达到高潮的男人。	https://movie.douban.com/subject/1760622/
地球上的星星	8.9	192209人评价	导演:阿米尔·汗AamirKhan   主演:达席尔·萨法瑞DarsheelSafary/阿...2007 / 印度 / 剧情儿童家庭	天使保护事件始末。	https://movie.douban.com/subject/2363506/
我爱你	9.1	154763人评价	导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae...2011 / 韩国 / 剧情爱情	你要相信，这世上真的有爱存在，不管在什么年纪 	https://movie.douban.com/subject/5908478/
完美陌生人	8.5	495987人评价	导演:保罗·格诺维瑟PaoloGenovese   主演:马可·贾利尼MarcoGiallini...2016 / 意大利 / 剧情喜剧	来啊，互相伤害啊！	https://movie.douban.com/subject/26614893/
花束般的恋爱	8.6	483421人评价	导演:土井裕泰NobuhiroDoi   主演:菅田将晖MasakiSuda/有村架纯Kasu...2021 / 日本 / 剧情爱情		https://movie.douban.com/subject/34874432/
弱点	8.7	270575人评价	导演:约翰·李·汉考克JohnLeeHancock   主演:桑德拉·布洛克SandraBu...2009 / 美国 / 剧情家庭传记运动	拍掉身上的悲伤，从今天开始重新踏上追梦之旅。	https://movie.douban.com/subject/3552028/
哈利·波特与死亡圣器(上)	8.5	508829人评价	导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...2010 / 英国美国 / 奇幻冒险	最忠于原著的一部。	https://movie.douban.com/subject/2051007/
