标题	评分	评论人数	总结	详情	链接
阿凡达	8.8	1290799人评价	导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...2009 / 美国 / 动作科幻冒险	绝对意义上的美轮美奂。	https://movie.douban.com/subject/1652587/
哈利·波特与死亡圣器(下)	8.9	760551人评价	导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...2011 / 美国英国 / 奇幻冒险	10年的完美句点。	https://movie.douban.com/subject/3011235/
沉默的羔羊	8.9	818353人评价	导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...1991 / 美国 / 剧情犯罪惊悚	安东尼·霍普金斯的顶级表演。	https://movie.douban.com/subject/1293544/
致命魔术	8.9	799839人评价	导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...2006 / 英国美国 / 剧情悬疑惊悚	孪生蝙蝠侠大战克隆金刚狼。	https://movie.douban.com/subject/1780330/
禁闭岛	8.9	899747人评价	导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...2010 / 美国 / 剧情悬疑惊悚	昔日翩翩少年，今日大腹便便。	https://movie.douban.com/subject/2334904/
海豚湾	9.3	341083人评价	导演:路易·西霍尤斯LouiePsihoyos   主演:RichardO'Barry/路易·西霍...2009 / 美国 / 纪录片	海豚的微笑，是世界上最高明的伪装。	https://movie.douban.com/subject/3442220/
布达佩斯大饭店	8.9	854153人评价	导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...2014 / 美国德国英国 / 剧情喜剧冒险	小清新的故事里注入了大历史的情怀。	https://movie.douban.com/subject/11525673/
蝴蝶效应	8.9	871784人评价	导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...2004 / 美国加拿大 / 剧情悬疑科幻惊悚	人的命运被自己瞬间的抉择改变。	https://movie.douban.com/subject/1292343/
美国往事	9.2	384866人评价	导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...1984 / 美国意大利 / 犯罪剧情	往事如烟，无处祭奠。	https://movie.douban.com/subject/1292262/
心灵捕手	8.9	659111人评价	导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...1997 / 美国 / 剧情	人生中应该拥有这样的一段豁然开朗。	https://movie.douban.com/subject/1292656/
低俗小说	8.9	774510人评价	导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...1994 / 美国 / 剧情喜剧犯罪	故事的高级讲法。	https://movie.douban.com/subject/1291832/
春光乍泄	9.0	586242人评价	导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...1997 / 中国香港日本韩国 / 剧情爱情同性	爱情纠缠，男女一致。	https://movie.douban.com/subject/1292679/
摩登时代	9.3	276725人评价	导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...1936 / 美国 / 剧情喜剧爱情	大时代中的人生，小人物的悲喜。	https://movie.douban.com/subject/1294371/
喜剧之王	8.8	898319人评价	导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...1999 / 中国香港 / 喜剧剧情爱情	我是一个演员。	https://movie.douban.com/subject/1302425/
七宗罪	8.8	888367人评价	导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...1995 / 美国 / 剧情犯罪悬疑惊悚	警察抓小偷，老鼠玩死猫。	https://movie.douban.com/subject/1292223/
功夫	8.8	1014019人评价	导演:周星驰StephenChow   主演:周星驰StephenChow/元秋QiuYuen/...2004 / 中国大陆中国香港 / 动作喜剧犯罪奇幻	警恶惩奸，维护世界和平这个任务就交给你了，好吗？	https://movie.douban.com/subject/1291543/
致命ID	8.8	757844人评价	导演:詹姆斯·曼高德JamesMangold   主演:约翰·库萨克JohnCusack/雷...2003 / 美国 / 剧情悬疑惊悚	最不可能的那个人永远是最可能的。	https://movie.douban.com/subject/1297192/
哈利·波特与阿兹卡班的囚徒	8.9	650943人评价	导演:AlfonsoCuarón   主演:丹尼尔·雷德克里夫DanielRadcliffe/Emma...2004 / 英国美国 / 奇幻冒险	不一样的导演，不一样的哈利·波特。	https://movie.douban.com/subject/1291544/
超脱	9.0	522157人评价	导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...2011 / 美国 / 剧情	穷尽一生，我们要学会的，不过是彼此拥抱。	https://movie.douban.com/subject/5322596/
杀人回忆	8.9	650809人评价	导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun...2003 / 韩国 / 剧情动作犯罪悬疑惊悚	关于连环杀人悬案的集体回忆。	https://movie.douban.com/subject/1300299/
加勒比海盗	8.8	802457人评价	导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...2003 / 美国 / 动作冒险奇幻	约翰尼·德普的独角戏。	https://movie.douban.com/subject/1298070/
红辣椒	9.1	418075人评价	导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/江守彻Toru...2006 / 日本 / 动画悬疑科幻惊悚	梦的勾结。	https://movie.douban.com/subject/1865703/
被嫌弃的松子的一生	8.9	664338人评价	导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...2006 / 日本 / 剧情歌舞	以戏谑来戏谑戏谑。	https://movie.douban.com/subject/1787291/
狩猎	9.1	357353人评价	导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...2012 / 丹麦瑞典 / 剧情	人言可畏。	https://movie.douban.com/subject/6985810/
请以你的名字呼唤我	8.9	664909人评价	导演:卢卡·瓜达尼诺LucaGuadagnino   主演:艾米·汉莫ArmieHammer/...2017 / 意大利法国巴西美国 / 剧情爱情同性	沉醉在电影的情感和视听氛围中无法自拔。	https://movie.douban.com/subject/26799731/
7号房的礼物	8.9	514600人评价	导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...2013 / 韩国 / 剧情喜剧家庭	《我是山姆》的《美丽人生》。	https://movie.douban.com/subject/10777687/
剪刀手爱德华	8.7	983370人评价	导演:蒂姆·波顿TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·...1990 / 美国 / 剧情奇幻爱情	浪漫忧郁的成人童话。	https://movie.douban.com/subject/1292370/
断背山	8.8	666992人评价	导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...2005 / 美国加拿大 / 剧情爱情同性家庭	每个人心中都有一座断背山。	https://movie.douban.com/subject/1418834/
勇敢的心	8.9	533325人评价	导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...1995 / 美国 / 动作传记剧情历史战争	史诗大片的典范。	https://movie.douban.com/subject/1294639/
唐伯虎点秋香	8.7	995314人评价	导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...1993 / 中国香港 / 喜剧爱情古装	华太师是黄霑，吴镇宇四大才子之一。	https://movie.douban.com/subject/1306249/
哈利·波特与密室	8.8	677078人评价	导演:ChrisColumbus   主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛...2002 / 英国美国 / 奇幻冒险	魔法的密室之门已打开...	https://movie.douban.com/subject/1296996/
一一	9.1	349778人评价	导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...2000 / 中国台湾日本 / 剧情爱情家庭	我们都曾经是一一。	https://movie.douban.com/subject/1292434/
入殓师	8.9	619813人评价	导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...2008 / 日本 / 剧情	死可能是一道门，逝去并不是终结，而是超越，走向下一程。	https://movie.douban.com/subject/2149806/
第六感	8.9	517107人评价	导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...1999 / 美国 / 剧情悬疑惊悚	深入内心的恐怖，出人意料的结局。	https://movie.douban.com/subject/1297630/
爱在黎明破晓前	8.8	618916人评价	导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...1995 / 美国奥地利瑞士 / 剧情爱情	缘分是个连绵词，最美不过一瞬。	https://movie.douban.com/subject/1296339/
重庆森林	8.8	749767人评价	导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...1994 / 中国香港 / 剧情爱情	寂寞没有期限。	https://movie.douban.com/subject/1291999/
天使爱美丽	8.7	917536人评价	导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...2001 / 法国德国 / 剧情喜剧爱情	法式小清新。 	https://movie.douban.com/subject/1292215/
蝙蝠侠：黑暗骑士崛起	8.8	671770人评价	导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...2012 / 美国英国 / 剧情动作科幻犯罪惊悚	诺兰就是保证。	https://movie.douban.com/subject/3395373/
幽灵公主	8.9	489616人评价	导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...1997 / 日本 / 动画奇幻冒险	人与自然的战争史诗。	https://movie.douban.com/subject/1297359/
菊次郎的夏天	8.9	551552人评价	导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...1999 / 日本 / 剧情喜剧	从没见过那么流氓的温柔，从没见过那么温柔的流氓。	https://movie.douban.com/subject/1293359/
小森林 夏秋篇	9.0	397357人评价	导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...2014 / 日本 / 剧情	那些静得只能听见呼吸的日子里，你明白孤独即生活。	https://movie.douban.com/subject/25814705/
阳光灿烂的日子	8.9	574178人评价	导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao1994 / 中国大陆中国香港 / 剧情爱情	一场华丽的意淫。	https://movie.douban.com/subject/1291875/
